SYPTCODE,SYPTSERL,SYPTSMTP,SYPTPRTM,SYPTCHCO,SYPTGNDT
C0239220,3,Finding,EAR MASS,left ear mass,20070305
C0239220,4,Finding,EAR MASS,auricular mass,20070305
C0239220,5,Finding,EAR MASS,for ear mass,20070305
C0239234,0,Congenital Abnormality,Low set ears,low set ear,20070305
C0239234,1,Congenital Abnormality,Low set ears,Low set ears (disorder),20070305
C0239266,0,Sign or Symptom                    ,Pain in elbow                             ,elbow pain                              ,20040507
C0239266,1,Sign or Symptom,Pain in elbow,left arm elbow pain,20070305
C0239266,2,Sign or Symptom,Pain in elbow,"Discomfort, Elbow",20070305
C0239266,3,Sign or Symptom,Pain in elbow,elbow tenderness and pain,20070305
C0239266,4,Sign or Symptom,Pain in elbow,left elbow pain,20070305
C0239266,5,Sign or Symptom,Pain in elbow,"Pain, Elbow",20070305
C0239266,6,Sign or Symptom,Pain in elbow,"Pain, musculoskeletal, elbow",20070305
C0239266,7,Sign or Symptom,Pain in elbow,right elbow pain,20070305
C0239266,8,Sign or Symptom,Pain in elbow,both elbow pain,20070305
C0239266,9,Sign or Symptom,Pain in elbow,Elbow pain,20070305
C0239293,0,Finding,Esophageal bleeding,"Bleeding, Esophagus",20070305
C0239295,0,Disease or Syndrome,Candidiasis of the esophagus,Candida Esophagitis,20070305
C0239316,0,Finding,EXPECTORATION IMPAIRMENT,Sputum Expectoration 장애,20070305
C0239339,0,finding                            ,Deformity of upper limb                   ,upper extremity deformity               ,20040507
C0239340,0,Sign or Symptom,Edema of lower extremity,right lower extremity edema,20070305
C0239340,1,Sign or Symptom,Edema of lower extremity,low extremity edema,20070305
C0239340,2,Sign or Symptom,Edema of lower extremity,Lower extremity edema,20070305
C0239340,3,Sign or Symptom,Edema of lower extremity,Edema of lower limb,20070305
C0239340,4,Sign or Symptom,Edema of lower extremity,edema on both lower extremities,20070305
C0239340,5,Sign or Symptom,Edema of lower extremity,L/E edema,20070305
C0239340,6,Sign or Symptom,Edema of lower extremity,L/E edema - Lower extremity edema,20070305
C0239340,7,Sign or Symptom,Edema of lower extremity,left lower extremity edema,20070305
C0239340,8,Sign or Symptom,Edema of lower extremity,both lower extremity edema,20070305
C0239340,9,Sign or Symptom,Edema of lower extremity,low extremities edema,20070305
C0239340,10,Sign or Symptom,Edema of lower extremity,both lower extremity pitting edema,20070305
C0239365,0,Finding,extremity muscle hypertrophy,"hypertrophy, lower extremity",20140722
C0239366,0,Finding,Extremity Muscle Rigidity,extremity rigidity,20070305
C0239369,0,Finding,"Extremity Muscle Spasm, Upper",left upper extremity spasm,20070305
C0239370,0,Finding,Extremity Muscle Weakness,muscle weakness of extremities lt.,20070305
C0239375,0,Sign or Symptom,Numbness of limbs,Rt side numbness,20050610
C0239375,1,Sign or Symptom,Numbness of limbs,extremity numbness,20070305
C0239375,2,Sign or Symptom,Numbness of limbs,all extremity numbness,20070305
C0239375,3,Sign or Symptom,Numbness of limbs,Rt side numbness,20070305
C0239375,4,Sign or Symptom,Numbness of limbs,"Numbness, Extremity",20070305
C0239375,5,Sign or Symptom,Numbness of limbs,both extremity numbness,20070305
C0239376,0,Sign or Symptom,Pain of lower extremities,L/E pain,20070305
C0239376,1,Sign or Symptom,Pain of lower extremities,both lower extremity pain,20070305
C0239376,2,Sign or Symptom,Pain of lower extremities,right lower extremity pain,20070305
C0239376,3,Sign or Symptom,Pain of lower extremities,"Pain, Lower Extremity",20070305
C0239376,4,Sign or Symptom,Pain of lower extremities,Low. ext. pain,20070305
C0239376,5,Sign or Symptom,Pain of lower extremities,left lower extremity pain,20070305
C0239377,0,Sign or Symptom,Pain in upper limb,arm pain,20050610
C0239377,1,Sign or Symptom,Arm Pain,상지통,20070305
C0239377,2,Sign or Symptom,Arm Pain,"Pain, Upper Extremity",20070305
C0239377,3,Sign or Symptom,Arm Pain,UPPER EXTREMITY PAIN,20070305
C0239377,4,Sign or Symptom,Arm Pain,양측 겨드랑이 밑이 아프다,20070305
C0239377,5,Sign or Symptom,Arm Pain,Painful arm,20070305
C0239377,6,Sign or Symptom,Arm Pain,painful sensation at both arm,20070305
C0239377,7,Sign or Symptom,Arm Pain,"Pain, Humerus",20070305
C0239377,8,Sign or Symptom,Arm Pain,painful upper arm,20070305
C0239377,9,Sign or Symptom,Arm Pain,"Pain, Arm",20070305
C0239377,10,Sign or Symptom,Arm Pain,right upper arm pain,20070305
C0239377,11,Sign or Symptom,Arm Pain,"humerus pain, both",20070305
C0239377,12,Sign or Symptom,Arm Pain,"U/E pain, Lt",20070305
C0239377,13,Sign or Symptom,Arm Pain,"Distress, Forearm",20070305
C0239377,14,Sign or Symptom,Arm Pain,"U/E pain, Rt",20070305
C0239377,15,Sign or Symptom,Arm Pain,both arm radiating pain,20070305
C0239377,16,Sign or Symptom,Arm Pain,both arm pain,20070305
C0239377,17,Sign or Symptom,Arm Pain,upper arm pain,20070305
C0239377,18,Sign or Symptom,Arm Pain,both arm & hand pain,20070305
C0239377,19,Sign or Symptom,Arm Pain,Upp. ext. pain,20070305
C0239385,0,Sign or Symptom,Paresthesia of limbs,"Paresthesia, Extremity",20070305
C0239385,1,Sign or Symptom,Paresthesia of limbs,limb paresthesia,20070305
C0239386,0,Sign or Symptom,LOWER EXTREMITY PARESTHESIA,left lower extremity hypesthesia,20070305
C0239388,0,Finding,Extremity Petechia,petechia on both extremities,20070305
C0239396,0,Finding,EXTREMITY PURPURA,purpura on lower extremities,20070305
C0239396,1,Finding,EXTREMITY PURPURA,both extremity purpura,20070305
C0239396,2,Finding,EXTREMITY PURPURA,purpura on lower leg,20070305
C0239396,3,Finding,EXTREMITY PURPURA,purpura on both extremities,20070305
C0239396,4,Finding,EXTREMITY PURPURA,purpura at inguinal area,20070305
C0239411,0,Finding,"Extremity Tremor, Lower",right lower extremity tremor,20070305
C0239412,0,Finding,"EXTREMITY TREMOR, UPPER",both upper extremity tremor,20070305
C0239412,1,Finding,"EXTREMITY TREMOR, UPPER","Tremor, Upper Extremity",20070305
C0239421,0,finding                            ,EYE DEVIATION                             ,eyeball deviation                       ,20040507
C0239421,1,Finding,eye; deviation,eyeball deviation,20070305
C0239421,2,Finding,eye; deviation,deviation of eyeball both eye,20070305
C0239421,3,Finding,eye; deviation,deviation of eye,20070305
C0239421,4,Finding,eye; deviation,eyeball deviation med side,20070305
C0239421,5,Finding,eye; deviation,eyeball deviation left eye,20070305
C0239423,0,Finding,EYE DEVIATION LATERAL,eye lat. deviation,20070305
C0239424,0,Finding,"EYE DISCHARGE, BLOODY",eye bloody discharge,20050610
C0239424,1,Finding,"EYE DISCHARGE, BLOODY",eye bloody discharge,20070305
C0239441,0,Finding,loss of eyebrow hair,loss of eyebrows,20140722
C0239444,0,Finding,EYEBROW RASH,"skin rash above, Lt.eyebrow",20070305
C0239460,0,Neoplastic Process,Nevus of eyelid,Eyelid Nevus,20070305
C0239470,0,Sign or Symptom,EYELID TENDERNESS,both lower eyelid tenderness,20070305
C0239472,0,finding                            ,EYELID TREMOR                             ,눈꺼풀이 깜박거려요                     ,20040507
C0239472,1,Finding,EYELID TREMOR,눈꺼풀떨림,20070305
C0239472,2,Finding,EYELID TREMOR,eyelids tremor like activity,20070305
C0239472,3,Finding,EYELID TREMOR,"Tremor, Eyelid",20070305
C0239474,0,Finding,EYELID VESICLE,eyelid painful vesicle,20070305
C0239475,0,Finding,EYELID VIOLACEOUS DISCOLORATION,"Discoloration, Eyelid",20070305
C0239479,0,Finding,FACE MOON SHAPED,Round face,20070305
C0239488,0,Finding,Erythema facial,left facial erythema,20070305
C0239489,0,Sign or Symptom,Facial flushing,flushing face,20050610
C0239505,0,Finding,Lump on face,facial protruding mass,20070305
C0239505,1,Finding,Lump on face,"Mass, Perioral Area",20070305
C0239505,2,Finding,Lump on face,"Mass, Face",20070305
C0239505,3,Finding,Lump on face,mass face,20070305
C0239505,4,Finding,Lump on face,mass at face,20070305
C0239505,5,Finding,Lump on face,FACIAL MASS,20070305
C0239505,6,Finding,Lump on face,facial abnormal mass,20070305
C0239511,0,Sign or Symptom,Numbness of face,"Numbness, Maxilla",20070305
C0239511,1,Sign or Symptom,Numbness of face,facial tingling sense,20070305
C0239511,2,Sign or Symptom,Numbness of face,left facial numbness,20070305
C0239511,3,Sign or Symptom,Numbness of face,Numbness facial,20070305
C0239511,4,Sign or Symptom,Numbness of face,"Numbness, Face",20070305
C0239511,5,Sign or Symptom,Numbness of face,facial numbness,20070305
C0239517,0,Sign or Symptom,Facial paresthesia,"Dull Sense, Cheek",20070305
C0239517,1,Sign or Symptom,Facial paresthesia,FACE PARESTHESIA,20070305
C0239521,0,finding                            ,Facial rash                               ,"skin rash, facial                       ",20040507
C0239521,1,Finding,Facial rash,"face, skin rash",20050610
C0239521,2,Finding,FACIAL RASH,face rash,20070305
C0239521,3,Finding,FACIAL RASH,vesicular eruption on face,20070305
C0239521,4,Finding,FACIAL RASH,"skin rash, facial",20070305
C0239521,5,Finding,FACIAL RASH,skin rash on left face,20070305
C0239521,6,Finding,FACIAL RASH,"face, skin rash",20070305
C0239521,7,Finding,FACIAL RASH,skin rash on face,20070305
C0239525,0,Finding,Facial Subcutaneous Emphysema,facial subcuatneous emphyema,20070305
C0239529,0,Finding,FACIAL SWEATING INCREASE,"sweating, face",20070305
C0239534,0,Finding,FACIAL TREMOR,face and limb 떨림,20070305
C0239534,1,Finding,FACIAL TREMOR,left facial tremor,20070305
C0239542,0,Finding,Down's facies,down's face,20070305
C0239548,0,Sign or Symptom,"Fasciculation, Tongue",Tongue fasciculation,20070305
C0239553,0,Finding,Femoral Bone Mass,left femoral mass,20070305
C0239571,0,Finding,Fetor hepaticus,Liver breath,20070305
C0239574,0,Finding,Low grade pyrexia,low grade fever,20070305
C0239574,1,Finding,Low grade pyrexia,mild fever,20070305
C0239575,0,Sign or Symptom,Remittent fever,Remittent fever (finding),20070305
C0239582,0,Finding,FINGER CYANOSIS,cyanosis of left 3rd finger,20070305
C0239582,1,Finding,FINGER CYANOSIS,Cyanosis on fingers,20070305
C0239582,2,Finding,FINGER CYANOSIS,"Cyanosis, Finger",20070305
C0239582,3,Finding,FINGER CYANOSIS,both finger cyanosis,20070305
C0239589,0,Sign or Symptom                    ,Pain in finger                            ,"pain, finger                            ",20040507
C0239589,1,Sign or Symptom,Pain in finger,both 3rd finger pain,20070305
C0239589,2,Sign or Symptom,Pain in finger,both 1st m-p joint area pain,20070305
C0239589,3,Sign or Symptom,Pain in finger,finger pain,20070305
C0239589,4,Sign or Symptom,Pain in finger,right hand 5th finger pain,20070305
C0239589,5,Sign or Symptom,Pain in finger,both finger pain,20070305
C0239589,6,Sign or Symptom,Pain in finger,"Pain, Finger",20070305
C0239589,7,Sign or Symptom,Pain in finger,"Pain, Finger Tip",20070305
C0239589,8,Sign or Symptom,Pain in finger,"right 3,4th finger pain",20070305
C0239589,9,Sign or Symptom,Pain in finger,"pain, index finger",20070305
C0239589,10,Sign or Symptom,Pain in finger,right 1st~4th finger pain,20070305
C0239589,11,Sign or Symptom,Pain in finger,"right 2,3,4 finger pain",20070305
C0239589,12,Sign or Symptom,Pain in finger,right 3rd finger site pain,20070305
C0239589,13,Sign or Symptom,Pain in finger,right 2nd finger pain,20070305
C0239589,14,Sign or Symptom,Pain in finger,left finger pain,20070305
C0239589,15,Sign or Symptom,Pain in finger,right 3rd finger pain,20070305
C0239594,0,Finding,short finger,short finger,20140722
C0239596,0,Sign or Symptom,Fingers stiffness,right 2nd finger stiffness,20070305
C0239596,1,Sign or Symptom,Fingers stiffness,"Stiffness, Finger",20070305
C0239598,0,finding                            ,Finger swelling                           ,"swelling, finger                        ",20040507
C0239598,1,Finding,Swelling of finger,"painful swelling, 2nd, 3rd, 4th distal phalanx  rt.",20070305
C0239598,2,Finding,Swelling of finger,left 1st finger swelling,20070305
C0239598,3,Finding,Swelling of finger,"painful swelling, 5th finger Lt.",20070305
C0239598,4,Finding,Swelling of finger,"painful swelling, rt.finger",20070305
C0239598,5,Finding,Swelling of finger,finger painful swelling,20070305
C0239598,6,Finding,Swelling of finger,finger swelling,20070305
C0239598,7,Finding,Swelling of finger,both finger tip painful swelling,20070305
C0239598,8,Finding,Swelling of finger,left 1st finger painful swelling,20070305
C0239598,9,Finding,Swelling of finger,right 2nd finger swelling,20070305
C0239598,10,Finding,Swelling of finger,swelling of both fingers,20070305
C0239598,11,Finding,Swelling of finger,"painful swelling, rt.3rd finger",20070305
C0239601,0,Finding,Tremor finger,Finger tremor,20070305
C0239601,1,Sign or Symptom,Tremor finger,"Tremor, Finger Tip",20070305
C0239602,0,Finding,Finger ulcer,digital ulcer of right 2nd finger tip,20070305
C0239602,1,Finding,Finger ulcer,for further management of right 3rd finger ulceration,20070305
C0239604,0,Finding,Fingernail Cyanosis,both finger tip cyanosis,20070305
C0239605,0,Sign or Symptom,FINGERNAIL PAIN,left 2nd finger tip pain,20070305
C0239605,1,Sign or Symptom,FINGERNAIL PAIN,finger tip pain,20070305
C0239610,0,Sign or Symptom,FINGERTIP TENDERNESS,"tenderness, index finger",20070305
C0239611,0,Finding,Fingertip Ulceration,finger tip ulceration,20070305
C0239618,0,Sign or Symptom,Costovertebral angle tenderness,CVAT-costovertebral angle tenderness,20070305
C0239618,1,Sign or Symptom,Costovertebral angle tenderness,CVA Td-costovertebral angle tenderness,20070305
C0239618,2,Sign or Symptom,Costovertebral angle tenderness,CVA tenderness-costovertebral angle tenderness,20070305
C0239618,3,Sign or Symptom,Costovertebral angle tenderness,both flank tenderness,20070305
C0239618,4,Sign or Symptom,Costovertebral angle tenderness,cv angle tenderness,20070305
C0239618,5,Sign or Symptom,Costovertebral angle tenderness,CVA pain,20070305
C0239618,6,Sign or Symptom,Costovertebral angle tenderness,costovertebral tenderness,20070305
C0239637,0,Finding,Foot Bulla,both foot bullae,20070305
C0239637,1,Finding,Foot Bulla,bulla of foot,20070305
C0239637,2,Finding,Foot Bulla,right foot bullae,20070305
C0239638,0,Finding,Foot Cyanosis,left foot cyanosis,20070305
C0239640,0,Finding,FOOT DISCOLORATION,foot color change,20070305
C0239640,1,Finding,FOOT DISCOLORATION,right foot discoloration,20070305
C0239642,0,Sign or Symptom                    ,Edema of foot                             ,"swelling, foot                          ",20040507
C0239642,1,Sign or Symptom,Edema of foot,"foot  edema, foot swelling",20050610
C0239649,0,Sign or Symptom,Numbness of foot,left foot numbness,20070305
C0239649,1,Sign or Symptom,Numbness of foot,foot numbness,20070305
C0239649,2,Sign or Symptom,Numbness of foot,foot  numbness,20070305
C0239649,3,Sign or Symptom,Numbness of foot,both foot numbness,20070305
C0239649,4,Sign or Symptom,Numbness of foot,both feet numbness,20070305
C0239649,5,Sign or Symptom,Numbness of foot,"Numbness, Foot",20070305
C0239649,6,Sign or Symptom,Numbness of foot,numbness of both foot,20070305
C0239649,7,Sign or Symptom,Numbness of foot,right foot numbness,20070305
C0239652,0,Finding,Paresthesia of foot,foot paresthesia,20070305
C0239652,1,Finding,Paresthesia of foot,both foot paresthesia,20070305
C0239665,0,Finding,FOREARM MASS,mass on right forearm,20070305
C0239665,1,Finding,FOREARM MASS,right forearm mass,20070305
C0239665,2,Finding,FOREARM MASS,left forearm mass,20070305
C0239665,3,Finding,FOREARM MASS,right forearm abnormal mass,20070305
C0239667,0,Sign or Symptom                    ,FOREARM PAIN                              ,"pain, forearm                           ",20040507
C0239667,1,Sign or Symptom,FOREARM PAIN,right forearm painful,20070305
C0239667,2,Sign or Symptom,FOREARM PAIN,"Pain, Forearm",20070305
C0239667,3,Sign or Symptom,FOREARM PAIN,right forearm pain,20070305
C0239667,4,Sign or Symptom,FOREARM PAIN,forearm bleeding pain,20070305
C0239667,5,Sign or Symptom,FOREARM PAIN,both forearm pain,20070305
C0239667,6,Sign or Symptom,FOREARM PAIN,left forearm pain,20070305
C0239667,7,Sign or Symptom,FOREARM PAIN,distal forearm pain,20070305
C0239667,8,Sign or Symptom,FOREARM PAIN,right forarm pain,20070305
C0239681,0,Finding,Forehead Rash,skin rash on the forehead,20070305
C0239685,0,Finding,Detail of history of foreign travel,Detail of history of foreign travel (observable entity),20070305
C0239693,0,Acquired Abnormality,os frontale; deformity,"Deformity, Frontal Bone",20070305
C0239696,0,Finding,Full Term finding,full term,20070305
C0239739,0,Sign or Symptom,Tenderness of gums,gingiva pain,20070305
C0239739,1,Sign or Symptom,Tenderness of gums,Gingival tenderness,20070305
C0239739,2,Sign or Symptom,Tenderness of gums,"Pain, Gingiva",20070305
C0239739,3,Sign or Symptom,Tenderness of gums,"Pain, Gum",20070305
C0239739,4,Sign or Symptom,Tenderness of gums,"Discomfort, Gingiva",20070305
C0239739,5,Sign or Symptom,Tenderness of gums,Painful gums,20070305
C0239739,6,Sign or Symptom,Tenderness of gums,잇몸이 아프다,20070305
C0239745,0,Finding,GLANS PENIS ERYTHEMA,"Erythema, Penis",20070305
C0239772,0,Sign or Symptom                    ,GREAT TOE PAIN                            ,"pain, big toe                           ",20040507
C0239772,1,Sign or Symptom                    ,GREAT TOE PAIN                            ,"pain, great toe                         ",20040507
C0239772,2,Sign or Symptom,Great Toe Pain,right great toe pain,20070305
C0239772,3,Sign or Symptom,Great Toe Pain,both great toe pain,20070305
C0239772,4,Sign or Symptom,Great Toe Pain,left great toe pain,20070305
C0239772,5,Sign or Symptom,Great Toe Pain,Big toe pain,20070305
C0239772,6,Sign or Symptom,Great Toe Pain,"great toe pain, Lt.",20070305
C0239783,0,Sign or Symptom                    ,Inguinodynia                              ,"pain, inguinal                          ",20040507
C0239783,1,Sign or Symptom,Inguinodynia,groin pain,20050610
C0239783,2,Sign or Symptom,Inguinal pain,Groin pain,20070305
C0239783,3,Sign or Symptom,Inguinal pain,Inguinodynia,20070305
C0239783,4,Sign or Symptom,Inguinal pain,inguinal area pain,20070305
C0239783,5,Sign or Symptom,Inguinal pain,"Discomfort, Inguinal Area",20070305
C0239783,6,Sign or Symptom,Inguinal pain,"Pain, Inguinal Area",20070305
C0239783,7,Sign or Symptom,Inguinal pain,right inguinal pain,20070305
C0239783,8,Sign or Symptom,Inguinal pain,both inguinal pain,20070305
C0239783,9,Sign or Symptom,Inguinal pain,right inguinal area pain,20070305
C0239783,10,Sign or Symptom,Inguinal pain,right inguinal region pain,20070305
C0239783,11,Sign or Symptom,Inguinal pain,both inguinal area pain,20070305
C0239810,0,Disease or Syndrome,Abscess of hand,right hand abscess,20070305
C0239813,0,finding                            ,HAND BULLA                                ,"bulla, hand                             ",20040507
C0239813,1,finding                            ,HAND BULLA                                ,"bulla, palm                             ",20040507
C0239813,2,Finding,HAND BULLA,"Bulla, hand",20070305
C0239813,3,Finding,HAND BULLA,"Bulla, palm",20070305
C0239813,4,Finding,HAND BULLA,"Hand, bulla",20070305
C0239813,5,Finding,HAND BULLA,"Palm, bulla",20070305
C0239816,0,Disease or Syndrome,hand eczema,"eczema, hand",20140722
C0239817,0,Finding,Hand Desquamation,desquamation of both hand,20070305
C0239819,0,Sign or Symptom,Edema of hand,손등이 부었다,20070305
C0239819,1,Sign or Symptom,Edema of hand,손등부음,20070305
C0239819,2,Sign or Symptom,Edema of hand,hand  edema,20070305
C0239819,3,Sign or Symptom,Edema of hand,"Edema, Hand",20070305
C0239819,4,Sign or Symptom,Edema of hand,edema on hands & face,20070305
C0239819,5,Sign or Symptom,Edema of hand,both hand edema,20070305
C0239830,0,Finding,Hand Muscle Atrophy,left hand atrophy,20070305
C0239832,0,Sign or Symptom                    ,Numbness of hand                          ,"numbness, hand                          ",20040507
C0239832,1,Sign or Symptom,Numbness of hand,hand  numbness,20070305
C0239832,2,Sign or Symptom,Numbness of hand,right hand numbness,20070305
C0239832,3,Sign or Symptom,Numbness of hand,"Numbness, Hand",20070305
C0239832,4,Sign or Symptom,Numbness of hand,both hand numbness,20070305
C0239832,5,Sign or Symptom,Numbness of hand,양손이 저리고 오므라든다,20070305
C0239833,0,Sign or Symptom                    ,Pain in hand                              ,"pain, hand                              ",20040507
C0239833,1,Sign or Symptom,Hand pain,"Pain, Hand",20070305
C0239833,2,Sign or Symptom,Hand pain,both hands pain,20070305
C0239833,3,Sign or Symptom,Hand pain,Painful hand,20070305
C0239833,4,Sign or Symptom,Hand pain,left hand pain,20070305
C0239833,5,Sign or Symptom,Hand pain,Hand pain (finding),20070305
C0239833,6,Sign or Symptom,Hand pain,palm pain,20070305
C0239833,7,Sign or Symptom,Hand pain,pain on hand,20070305
C0239836,0,Sign or Symptom,Paresthesia of hand,hand paresthesia,20070305
C0239836,1,Sign or Symptom,Paresthesia of hand,right hand paresthesia,20070305
C0239836,2,Sign or Symptom,Paresthesia of hand,both hand paresthesia,20070305
C0239840,0,Finding,HAND STIFFNESS,both hand stiffness,20070305
C0239840,1,Finding,HAND STIFFNESS,both hand morning stiffness,20070305
C0239840,2,Finding,HAND STIFFNESS,"Stiffness, Hand",20070305
C0239842,0,finding                            ,Tremor of hands                           ,"tremor, hand                            ",20040507
C0239842,1,Finding,Tremor of hands,tremor left hand,20070305
C0239842,2,Finding,Tremor of hands,both hand tremor,20070305
C0239842,3,Finding,Tremor of hands,bilateral hand tremor,20070305
C0239842,4,Finding,Tremor of hands,flapping hand tremor,20070305
C0239842,5,Finding,Tremor of hands,Hand tremor,20070305
C0239842,6,Finding,Tremor of hands,left hand tremor,20070305
C0239842,7,Finding,Tremor of hands,tremor both hand,20070305
C0239842,8,Finding,Tremor of hands,U/E tremor,20070305
C0239842,9,Finding,Tremor of hands,Upper extrimity tremor,20070305
C0239842,10,Finding,Tremor of hands,arm tremor,20070305
C0239842,11,Finding,Tremor of hands,Rt. side hand tremor & 4ext. tremulous movement,20070305
C0239846,0,Finding,HAND WRINGING,Wringing of hands,20070305
C0239881,0,Finding,Head Rash,for head rash,20070305
C0239882,0,Finding,Head tremor,"Tremor, Head",20070305
C0239885,0,Finding,Headache dull,dull headache,20070305
C0239886,0,Sign or Symptom,Frontal headache,right forehead area headache,20070305
C0239886,1,Sign or Symptom,Frontal headache,"forehead pain, bilateral",20070305
C0239886,2,Sign or Symptom,Frontal headache,"headache,frontal",20070305
C0239886,3,Sign or Symptom,Frontal headache,"Pain, Headache, Frontal",20070305
C0239886,4,Sign or Symptom,Frontal headache,"forehead pain, Rt.",20070305
C0239886,5,Sign or Symptom,Frontal headache,headache on frontal area,20070305
C0239886,6,Sign or Symptom,Frontal headache,"forehead pain, Lt.",20070305
C0239886,7,Sign or Symptom,Frontal headache,"Pain, Frontal Area",20070305
C0239889,0,Sign or Symptom,Headache Severe,severe HA - Headache Severe,20070305
C0239932,0,Finding,Heel Swelling,both heel painful swelling,20070305
C0239932,1,Finding,Heel Swelling,left heel painful swelling,20070305
C0239932,2,Finding,Heel Swelling,right heel painful swelling,20070305
C0239937,0,Pathologic Function,Microscopic hematuria,microhematuria,20070305
C0239937,1,Pathologic Function,Microscopic hematuria,for evaluation of microscopic hematuria,20070305
C0239942,0,Pathologic Function,prolapsed hemorrhoids,"prolapse, hemorrhoid",20140722
C0239949,0,Finding,Hepatojugular reflux,Hepatojugular reflux (finding),20070305
C0239954,0,Finding,Deformity of hip joint,left hip deformity,20070305
C0239954,1,Finding,Deformity of hip joint,"Deformity, Hip",20070305
C0239954,2,Finding,Deformity of hip joint,Hip deformity,20070305
C0239958,0,Finding,Hip swelling,"painful swelling, hip.rt.",20070305
C0239958,1,Finding,Hip swelling,right hip painful swelling,20070305
C0239958,2,Finding,Hip swelling,left hip painful swelling,20070305
C0239958,3,Finding,Hip swelling,Left Hip swelling,20070305
C0239978,0,Finding,Increased frequency of defecation,defecation frequency 증가,20070305
C0240007,0,Sign or Symptom,Inguinal mass,Groin lump,20070305
C0240007,1,Sign or Symptom,Inguinal mass,groin mass,20070305
C0240007,2,Sign or Symptom,Inguinal mass,lump in the groin,20070305
C0240007,3,Sign or Symptom,Inguinal mass,Palpable inguinal mass,20070305
C0240007,4,Sign or Symptom,Inguinal mass,"groin inguinal mass, right",20070305
C0240007,5,Sign or Symptom,Inguinal mass,both inguinal mass,20070305
C0240007,6,Sign or Symptom,Inguinal mass,right groin mass,20070305
C0240007,7,Sign or Symptom,Inguinal mass,right inguinajl mass,20070305
C0240007,8,Sign or Symptom,Inguinal mass,"Lump, Inguinal Area",20070305
C0240007,9,Sign or Symptom,Inguinal mass,right inguinal lesion mass,20070305
C0240007,10,Sign or Symptom,Inguinal mass,right inguinal site mass,20070305
C0240007,11,Sign or Symptom,Inguinal mass,right inguinal mass,20070305
C0240007,12,Sign or Symptom,Inguinal mass,right inguinal area palpable mass,20070305
C0240007,13,Sign or Symptom,Inguinal mass,bilateral inguinal mass,20070305
C0240007,14,Sign or Symptom,Inguinal mass,right inguinal area mass,20070305
C0240007,15,Sign or Symptom,Inguinal mass,right inguinal painful mass,20070305
C0240059,0,Pathologic Function,Ventricular hemorrhage,"Intraventricular Hemorrhage,Unspecified",20070305
C0240059,1,Pathologic Function,Ventricular hemorrhage,Traumatic Intraventricular Hemorrhage,20070305
C0240059,2,Pathologic Function,Ventricular hemorrhage,"Hemorrhage, Brain Intraventricle",20070305
C0240059,3,Pathologic Function,Ventricular hemorrhage,Ventricular hemorrhage (disorder),20070305
C0240059,4,Pathologic Function,Ventricular hemorrhage,IVH - intraventricular hemorrhage,20070305
C0240059,5,Pathologic Function,Ventricular hemorrhage,IVH,20070305
C0240063,0,Anatomical Abnormality,Coloboma of iris,Iris Coloboma,20070305
C0240094,0,Sign or Symptom,Joint tenderness,Joint tenderness (finding),20070305
C0240100,0,Finding,JUGULAR VENOUS DISTENTION,JVD - JUGULAR VENOUS DISTENTION,20070305
C0240100,1,Finding,JUGULAR VENOUS DISTENTION,jugular venous distension,20070305
C0240111,0,Disease or Syndrome,Arthritis of knee,knee arthritis,20070305
C0240114,0,Finding,KNEE FLEXION,Flexion of knee,20070305
C0240119,0,Sign or Symptom,Mass of knee,Lump on knee,20070305
C0240119,1,Sign or Symptom,Mass of knee,mass knee left,20070305
C0240119,2,Sign or Symptom,Mass of knee,right knee painful mass,20070305
C0240121,0,Finding,Knee Muscle Weakness,right knee weakness,20070305
C0240126,0,Finding,Knee Rash,both knee ankle rash,20070305
C0240129,0,Sign or Symptom,Knee stiff,right knee stiffness,20070305
C0240129,1,Sign or Symptom,Knee stiff,"Stiffness, Knee",20070305
C0240129,2,Sign or Symptom,Knee stiff,left knee stiffness,20070305
C0240129,3,Sign or Symptom,Knee stiff,"Stiffness,knee",20070305
C0240130,0,finding                            ,Swollen knee                              ,"painful swelling, knee                  ",20040507
C0240130,1,finding                            ,Swollen knee                              ,"swelling, knee                          ",20040507
C0240130,2,Finding,Swollen knee,"painful swelling, knee, Lt",20070305
C0240130,3,Finding,Swollen knee,"painful swellign, knee",20070305
C0240130,4,Finding,Swollen knee,left knee swelling,20070305
C0240130,5,Finding,Swollen knee,"Knee, painful swelling",20070305
C0240130,6,Finding,Swollen knee,right knee swelling,20070305
C0240130,7,Finding,Swollen knee,Knee swelling,20070305
C0240130,8,Finding,Swollen knee,painful swelling rt. knee,20070305
C0240130,9,Finding,Swollen knee,"painful swelling, knee, Rt",20070305
C0240143,0,Disease or Syndrome,labial ulcer,"swelling, female genitalia",20140722
C0240189,0,Disease or Syndrome,abscess of lip,"abscess, lip",20140722
C0240193,0,Finding,Lip Crusting,lip crust,20070305
C0240194,0,Sign or Symptom,Blue lips,Cyanosis of lip,20070305
C0240194,1,Sign or Symptom,Blue lips,Lip cyanosis,20070305
C0240194,2,Sign or Symptom,Blue lips,Lips cyanosis,20070305
C0240194,3,Sign or Symptom,Blue lips,"Cyanosis, Lip",20070305
C0240200,0,Disease or Syndrome,Median fissure of lip,"Fissure, Lip",20070305
C0240211,0,finding                            ,Swollen lips                              ,"swelling, lip                           ",20040507
